id,statement_text,topic_area,severity,emotional_markers,factual_claim,source_category,source_url,verified,notes
1,"Industrial pollution has poisoned the air over major cities, leading to thousands of premature deaths each year from cardiovascular and respiratory disease.",environmental,3,visceral (poisoned); scope (thousands); vulnerability (premature deaths),Air pollution causes substantial premature mortality globally,WHO air pollution mortality data; State of Global Air report,,yes,
2,Fossil-fuel companies have known about the catastrophic effects of carbon emissions for decades while spending millions to deceive the public.,environmental,4,intensifier (catastrophic); moral judgement (deceive); attribution of blame,Major oil companies had internal climate research and funded disinformation,"Internal industry documents (e.g., ExxonMobil); InsideClimate News; congressional reports",,yes,
3,"Plastic waste is suffocating the oceans, with millions of tonnes dumped into marine ecosystems every year and choking entire food chains.",environmental,4,"visceral (suffocating, choking); scope (millions of tonnes, entire food chains)",Global plastic pollution scale in oceans,NOAA marine debris data; UNEP plastic pollution reports,,yes,
4,"The Amazon rainforest has been ravaged by decades of illegal logging and agricultural clearing, with vast tracts of irreplaceable ecosystem destroyed.",environmental,3,"visceral (ravaged, destroyed); intensifier (irreplaceable); scope (vast tracts)",Amazon deforestation extent,INPE Brazil satellite data; peer-reviewed forest studies,,yes,
5,"Climate inaction by wealthy nations is condemning millions of children in the Global South to die from droughts, floods, and heatwaves they did nothing to cause.",environmental,5,"moral judgement (condemning, did nothing to cause); vulnerability (children); scope (millions); attribution of blame",Climate change disproportionately affects developing nations,IPCC reports; UNICEF climate impact data,,yes,
6,Coral reefs are dying at unprecedented rates as ocean temperatures continue to rise beyond what these fragile ecosystems can survive.,environmental,2,visceral (dying); intensifier (unprecedented); vulnerability (fragile),Coral bleaching due to ocean warming,NOAA coral reef data; peer-reviewed marine biology research,,yes,
7,"Wildlife populations have collapsed by approximately 69% since 1970, a devastating loss driven primarily by human destruction of natural habitats.",environmental,3,"visceral (collapsed, destruction); intensifier (devastating)",Living Planet Index biodiversity decline,WWF Living Planet Report,,yes,
8,"Toxic chemicals from factory farms are poisoning rural drinking water supplies, with poor communities bearing the brunt of corporate negligence.",environmental,4,"visceral (toxic, poisoning); moral judgement (negligence); vulnerability (poor communities); attribution of blame",Agricultural runoff and water contamination,EPA reports on agricultural water pollution; CDC water quality data,,yes,
9,"Glaciers are vanishing at terrifying speed across the world's mountain ranges, threatening water supplies for over a billion people downstream.",environmental,3,visceral (vanishing); intensifier (terrifying); scope (over a billion),Glacier retreat affects water security,IPCC AR6 chapter on cryosphere; glaciology research,,yes,
10,"Wildfires are now burning hotter, longer, and more often as climate change creates the conditions for these devastating blazes.",environmental,2,"intensifier (devastating); comparative (hotter, longer, more often)",Wildfire frequency and intensity increasing under climate change,NIFC fire statistics; peer-reviewed fire science,,yes,
11,"Pharmaceutical companies pushed millions of patients into opioid addiction while knowing the deadly risks, fuelling a crisis that has killed hundreds of thousands of Americans.",public-health,4,"visceral (pushed, addiction, killed); intensifier (deadly); attribution of blame; moral judgement (knowing)",Role of pharmaceutical industry in U.S. opioid crisis,"DEA reports; CDC opioid overdose data; court documents from opioid litigation (Purdue, Johnson & Johnson)",,yes,
12,"Tobacco-related diseases continue to kill more than 8 million people worldwide each year, despite decades of warnings and regulatory effort.",public-health,3,visceral (kill); scope (8 million),Annual global tobacco mortality,WHO global tobacco report,,yes,
13,Tens of thousands of uninsured Americans die each year from conditions that would be treatable in nearly every other wealthy country.,public-health,4,visceral (die); scope (tens of thousands); comparative (nearly every other wealthy country),U.S. uninsured mortality and international comparison,Annals of Internal Medicine studies on uninsured mortality; Kaiser Family Foundation,,yes,
14,Black women in the United States die from pregnancy-related complications at three times the rate of white women — a horrific disparity that decades of policy has failed to fix.,public-health,5,visceral (die); intensifier (horrific); moral judgement (failed); vulnerability (Black women),Racial disparities in U.S. maternal mortality,CDC Pregnancy Mortality Surveillance System,,yes,
